,ID,Name,Taxonomy,species group,species id,reference_lib,false_pos_prone,Combined,Min,Max,Mean,Median,Std,sample_abund,control_abund,sample_normalized,control_normalized,normalized_corrected,S:N,sample,control,mode
4448,Uncultured bacterium; KF095567.1.1360,KF095567.1.1360,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia-Shigella; Uncultured bacterium,Uncultured bacterium, KF095567.1.1360,SSU,No,5376,8,761,336.0,308.5,249.6116984438029,693,247,178.780833,24.873641,153.907192,6.187561845087336,BFTMS23071402,BFTMS23071417,SSU_moderate
4107,Uncultured Moraxella sp; EU160529.1.1349,EU160529.1.1349,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Uncultured Moraxella sp,Uncultured Moraxella sp, EU160529.1.1349,SSU,No,122,0,77,7.625,2.0,18.825071934346848,77,3,16.130268,0.302109,15.828159000000001,52.39221274440682,BFTMS23071406,BFTMS23071417,SSU_moderate
124,Staphylococcus aureus; JN084549.1.1431,JN084549.1.1431,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus,Staphylococcus aureus, JN084549.1.1431,SSU,No,2952,0,1747,184.5,0.0,506.0382067261983,45,2,9.42678,0.201406,9.225374,45.80486182139559,BFTMS23071406,BFTMS23071417,SSU_moderate
124,Staphylococcus aureus; JN084549.1.1431,JN084549.1.1431,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus,Staphylococcus aureus, JN084549.1.1431,SSU,No,2952,0,1747,184.5,0.0,506.0382067261983,1154,2,310.251746,0.201406,310.05034,1539.4295105408976,BFTMS23071407,BFTMS23071417,SSU_moderate
771,Staphylococcus aureus; CP012970.1913319.1914863,CP012970.1913319.1914863,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus,Staphylococcus aureus, CP012970.1913319.1914863,SSU,No,2318,0,1178,144.875,0.0,395.55123983288604,1138,0,305.950162,0.0,305.950162,inf,BFTMS23071407,BFTMS23071417,SSU_moderate
5036,Uncultured bacterium; JF024722.1.1371,JF024722.1.1371,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Uncultured bacterium,Uncultured bacterium, JF024722.1.1371,SSU,No,1559,0,776,97.4375,0.0,262.9681777325918,766,0,205.938334,0.0,205.938334,inf,BFTMS23071407,BFTMS23071417,SSU_moderate
1603,Staphylococcus aureus subsp. aureus ECT-R 2; FR714927.2042131.2043670,FR714927.2042131.2043670,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus subsp. aureus ECT-R 2,Staphylococcus aureus subsp. aureus ECT-R 2, FR714927.2042131.2043670,SSU,No,1651,0,996,103.1875,0.0,288.753463182695,655,0,176.096095,0.0,176.096095,inf,BFTMS23071407,BFTMS23071417,SSU_moderate
6389,Staphylococcus sp. zf-IRht16; DQ223661.1.1462,DQ223661.1.1462,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus sp. zf-IRht16,Staphylococcus sp. zf-IRht16, DQ223661.1.1462,SSU,No,1191,0,627,74.4375,1.0,194.98580076508136,627,3,168.568323,0.302109,168.266214,556.9718677695798,BFTMS23071407,BFTMS23071417,SSU_moderate
5749,Staphylococcus aureus subsp. aureus Tager 104; CP012409.2263835.2266601,CP012409.2263835.2266601,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus subsp. aureus Tager 104,Staphylococcus aureus subsp. aureus Tager 104, CP012409.2263835.2266601,SSU,No,1082,0,541,67.625,0.0,178.95991171209266,510,0,137.11299,0.0,137.11299,inf,BFTMS23071407,BFTMS23071417,SSU_moderate
145,Staphylococcus aureus; JN084559.1.1432,JN084559.1.1432,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus,Staphylococcus aureus, JN084559.1.1432,SSU,No,938,0,565,58.625,0.0,162.7881547697293,365,2,98.129885,0.201406,97.928479,486.22423860262353,BFTMS23071407,BFTMS23071417,SSU_moderate
3527,Staphylococcus epidermidis; MH752438.1.1224,MH752438.1.1224,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus epidermidis,Staphylococcus epidermidis, MH752438.1.1224,SSU,No,559,0,292,34.9375,0.0,89.08757395581796,292,2,78.503908,0.201406,78.30250199999999,388.77939088209877,BFTMS23071407,BFTMS23071417,SSU_moderate
520,Staphylococcus aureus; JN687472.1.1494,JN687472.1.1494,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus,Staphylococcus aureus, JN687472.1.1494,SSU,No,580,0,285,36.25,0.0,95.65667775957934,277,0,74.471173,0.0,74.471173,inf,BFTMS23071407,BFTMS23071417,SSU_moderate
158,Staphylococcus aureus; JN084550.1.1412,JN084550.1.1412,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus,Staphylococcus aureus, JN084550.1.1412,SSU,No,613,0,333,38.3125,0.0,103.91003721168295,273,1,73.395777,0.100703,73.295074,727.8340665124177,BFTMS23071407,BFTMS23071417,SSU_moderate
124,Staphylococcus aureus; JN084549.1.1431,JN084549.1.1431,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus,Staphylococcus aureus, JN084549.1.1431,SSU,No,2952,0,1747,184.5,0.0,506.0382067261983,1747,2,538.607088,0.201406,538.405682,2673.235563985184,BFTMS23071408,BFTMS23071417,SSU_moderate
771,Staphylococcus aureus; CP012970.1913319.1914863,CP012970.1913319.1914863,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus,Staphylococcus aureus, CP012970.1913319.1914863,SSU,No,2318,0,1178,144.875,0.0,395.55123983288604,1178,0,363.182112,0.0,363.182112,inf,BFTMS23071408,BFTMS23071417,SSU_moderate
1603,Staphylococcus aureus subsp. aureus ECT-R 2; FR714927.2042131.2043670,FR714927.2042131.2043670,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus subsp. aureus ECT-R 2,Staphylococcus aureus subsp. aureus ECT-R 2, FR714927.2042131.2043670,SSU,No,1651,0,996,103.1875,0.0,288.753463182695,996,0,307.070784,0.0,307.070784,inf,BFTMS23071408,BFTMS23071417,SSU_moderate
5036,Uncultured bacterium; JF024722.1.1371,JF024722.1.1371,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Uncultured bacterium,Uncultured bacterium, JF024722.1.1371,SSU,No,1559,0,776,97.4375,0.0,262.9681777325918,776,0,239.243904,0.0,239.243904,inf,BFTMS23071408,BFTMS23071417,SSU_moderate
145,Staphylococcus aureus; JN084559.1.1432,JN084559.1.1432,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus,Staphylococcus aureus, JN084559.1.1432,SSU,No,938,0,565,58.625,0.0,162.7881547697293,565,2,174.19176,0.201406,173.990354,863.8787027198792,BFTMS23071408,BFTMS23071417,SSU_moderate
5749,Staphylococcus aureus subsp. aureus Tager 104; CP012409.2263835.2266601,CP012409.2263835.2266601,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus subsp. aureus Tager 104,Staphylococcus aureus subsp. aureus Tager 104, CP012409.2263835.2266601,SSU,No,1082,0,541,67.625,0.0,178.95991171209266,541,0,166.792464,0.0,166.792464,inf,BFTMS23071408,BFTMS23071417,SSU_moderate
6389,Staphylococcus sp. zf-IRht16; DQ223661.1.1462,DQ223661.1.1462,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus sp. zf-IRht16,Staphylococcus sp. zf-IRht16, DQ223661.1.1462,SSU,No,1191,0,627,74.4375,1.0,194.98580076508136,514,3,158.468256,0.302109,158.166147,523.5400037734724,BFTMS23071408,BFTMS23071417,SSU_moderate
158,Staphylococcus aureus; JN084550.1.1412,JN084550.1.1412,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus,Staphylococcus aureus, JN084550.1.1412,SSU,No,613,0,333,38.3125,0.0,103.91003721168295,333,1,102.665232,0.100703,102.56452900000001,1018.4853380733445,BFTMS23071408,BFTMS23071417,SSU_moderate
520,Staphylococcus aureus; JN687472.1.1494,JN687472.1.1494,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus,Staphylococcus aureus, JN687472.1.1494,SSU,No,580,0,285,36.25,0.0,95.65667775957934,285,0,87.86664,0.0,87.86664,inf,BFTMS23071408,BFTMS23071417,SSU_moderate
191,Staphylococcus lugdunensis; KY630657.1.1457,KY630657.1.1457,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus lugdunensis,Staphylococcus lugdunensis, KY630657.1.1457,SSU,No,514,0,263,32.125,0.0,85.77402481715157,263,0,81.083952,0.0,81.083952,inf,BFTMS23071408,BFTMS23071417,SSU_moderate
3527,Staphylococcus epidermidis; MH752438.1.1224,MH752438.1.1224,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus epidermidis,Staphylococcus epidermidis, MH752438.1.1224,SSU,No,559,0,292,34.9375,0.0,89.08757395581796,229,2,70.601616,0.201406,70.40021,349.5437573855794,BFTMS23071408,BFTMS23071417,SSU_moderate
809,Corynebacterium aurimucosum; AJ309207.1.1475,AJ309207.1.1475,Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium aurimucosum,Corynebacterium aurimucosum, AJ309207.1.1475,SSU,No,243,0,243,15.1875,0.0,60.75,243,0,60.399351,0.0,60.399351,inf,BFTMS23071409,BFTMS23071417,SSU_moderate
4448,Uncultured bacterium; KF095567.1.1360,KF095567.1.1360,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia-Shigella; Uncultured bacterium,Uncultured bacterium, KF095567.1.1360,SSU,No,5376,8,761,336.0,308.5,249.6116984438029,761,247,166.744232,24.873641,141.87059100000002,5.703651950271374,BFTMS23071410,BFTMS23071417,SSU_moderate
1674,Clostridium intestinale; AM158323.1.1480,AM158323.1.1480,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium sensu stricto 3; Clostridium intestinale,Clostridium intestinale, AM158323.1.1480,SSU,No,2387,0,605,149.1875,89.5,163.11967743551563,605,26,132.56276,2.618278,129.944482,49.629749782108696,BFTMS23071410,BFTMS23071417,SSU_moderate
1991,Anaerocolumna jejuensis; AY494606.1.1466,AY494606.1.1466,Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Anaerocolumna; Anaerocolumna jejuensis,Anaerocolumna jejuensis, AY494606.1.1466,SSU,No,2339,0,615,146.1875,91.0,157.84769821994027,615,78,134.75388,7.854834,126.89904600000001,16.155535050136006,BFTMS23071410,BFTMS23071417,SSU_moderate
2085,Pseudomonas sp. CBMAI 1181; HQ396904.1.1299,HQ396904.1.1299,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas sp. CBMAI 1181,Pseudomonas sp. CBMAI 1181, HQ396904.1.1299,SSU,No,4508,0,599,281.75,281.5,195.4077787602121,599,217,131.248088,21.852551,109.39553699999999,5.006076269997036,BFTMS23071410,BFTMS23071417,SSU_moderate
940,[Clostridium] celerecrescens; X71848.1.1522,X71848.1.1522,Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Lachnoclostridium; [Clostridium] celerecrescens,[Clostridium] celerecrescens, X71848.1.1522,SSU,No,2016,1,503,126.0,74.0,134.9063872962779,503,63,110.213336,6.344289,103.869047,16.372054772410273,BFTMS23071410,BFTMS23071417,SSU_moderate
20,Pseudomonas sp. TSR26; JN052145.1.1337,JN052145.1.1337,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas sp. TSR26,Pseudomonas sp. TSR26, JN052145.1.1337,SSU,No,3034,0,510,189.625,156.0,146.44128516234758,510,114,111.74712,11.480142,100.266978,8.733949283902584,BFTMS23071410,BFTMS23071417,SSU_moderate
11,Pantoea ananatis; AB004758.1.1445,AB004758.1.1445,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Erwiniaceae; Pantoea; Pantoea ananatis,Pantoea ananatis, AB004758.1.1445,SSU,No,3068,6,463,191.75,167.0,140.0897331474842,463,118,101.448856,11.882954,89.56590200000001,7.5373431555823585,BFTMS23071410,BFTMS23071417,SSU_moderate
805,Clostridium sp; CS600349.1.1458,CS600349.1.1458,Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Lachnoclostridium; Clostridium sp,Clostridium sp, CS600349.1.1458,SSU,No,1624,0,409,101.5,72.0,108.11845355904791,409,32,89.616808,3.222496,86.394312,26.80974995779669,BFTMS23071410,BFTMS23071417,SSU_moderate
137,Pseudomonas aeruginosa PA38182; HG530068.754687.756210,HG530068.754687.756210,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa PA38182,Pseudomonas aeruginosa PA38182, HG530068.754687.756210,SSU,No,570,0,350,35.625,1.0,91.01346054293288,350,5,76.6892,0.503515,76.185685,151.30767703047576,BFTMS23071410,BFTMS23071417,SSU_moderate
21,Acinetobacter sp. E2; JN082732.1.1441,JN082732.1.1441,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter sp. E2,Acinetobacter sp. E2, JN082732.1.1441,SSU,No,2123,0,376,132.6875,108.0,110.5873523509809,376,120,82.386112,12.08436,70.301752,5.817581733745104,BFTMS23071410,BFTMS23071417,SSU_moderate
1470,Bacteroides fragilis 638R; FQ312004.4708749.4710281,FQ312004.4708749.4710281,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides fragilis 638R,Bacteroides fragilis 638R, FQ312004.4708749.4710281,SSU,No,2202,0,2202,137.625,0.0,550.5,2202,0,1461.656772,0.0,1461.656772,inf,BFTMS23071411,BFTMS23071417,SSU_moderate
4149,Uncultured bacterium; JQ449434.1.1369,JQ449434.1.1369,Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Peptostreptococcaceae; Peptostreptococcus; Uncultured bacterium,Uncultured bacterium, JQ449434.1.1369,SSU,No,1433,0,1433,89.5625,0.0,358.25,1433,0,951.205338,0.0,951.205338,inf,BFTMS23071411,BFTMS23071417,SSU_moderate
205,Streptococcus anginosus; AB006119.1.1363,AB006119.1.1363,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus anginosus,Streptococcus anginosus, AB006119.1.1363,SSU,No,1233,0,1233,77.0625,0.0,308.25,1233,0,818.448138,0.0,818.448138,inf,BFTMS23071411,BFTMS23071417,SSU_moderate
2957,Bacteroides fragilis; KP944125.1.1437,KP944125.1.1437,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides fragilis,Bacteroides fragilis, KP944125.1.1437,SSU,No,897,0,896,56.0625,0.0,223.98347223251392,896,0,594.752256,0.0,594.752256,inf,BFTMS23071411,BFTMS23071417,SSU_moderate
248,Parvimonas micra ATCC 33270; AF542231.1.1414,AF542231.1.1414,Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Parvimonas; Parvimonas micra ATCC 33270,Parvimonas micra ATCC 33270, AF542231.1.1414,SSU,No,771,0,771,48.1875,0.0,192.75,771,0,511.779006,0.0,511.779006,inf,BFTMS23071411,BFTMS23071417,SSU_moderate
1034,Bacteroides fragilis; X83935.1.1436,X83935.1.1436,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides fragilis,Bacteroides fragilis, X83935.1.1436,SSU,No,832,0,719,52.0,0.0,180.08627561995573,719,0,477.262134,0.0,477.262134,inf,BFTMS23071411,BFTMS23071417,SSU_moderate
508,Streptococcus anginosus; JN787137.1.1404,JN787137.1.1404,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus anginosus,Streptococcus anginosus, JN787137.1.1404,SSU,No,683,0,683,42.6875,0.0,170.75,683,0,453.365838,0.0,453.365838,inf,BFTMS23071411,BFTMS23071417,SSU_moderate
3773,Bacteroides fragilis; CDQP01001253.198.1702,CDQP01001253.198.1702,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides fragilis,Bacteroides fragilis, CDQP01001253.198.1702,SSU,No,662,0,661,41.375,0.0,165.23352161915167,661,0,438.762546,0.0,438.762546,inf,BFTMS23071411,BFTMS23071417,SSU_moderate
3615,Uncultured Anaerovorax sp; EF419415.1.1433,EF419415.1.1433,Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Anaerovoracaceae; S5-A14a; Uncultured Anaerovorax sp,Uncultured Anaerovorax sp, EF419415.1.1433,SSU,No,542,0,542,33.875,0.0,135.5,542,0,359.772012,0.0,359.772012,inf,BFTMS23071411,BFTMS23071417,SSU_moderate
4814,Uncultured organism; HQ757334.1.1452,HQ757334.1.1452,Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Parvimonas; Uncultured organism,Uncultured organism, HQ757334.1.1452,SSU,No,481,0,481,30.0625,0.0,120.25,481,0,319.281066,0.0,319.281066,inf,BFTMS23071411,BFTMS23071417,SSU_moderate
5082,Uncultured organism; HQ788151.1.1447,HQ788151.1.1447,Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Peptostreptococcaceae; Peptostreptococcus; Uncultured organism,Uncultured organism, HQ788151.1.1447,SSU,No,389,0,389,24.3125,0.0,97.25,389,0,258.212754,0.0,258.212754,inf,BFTMS23071411,BFTMS23071417,SSU_moderate
268,Peptoniphilus lacrimalis; AF542230.1.1406,AF542230.1.1406,Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Peptoniphilus; Peptoniphilus lacrimalis,Peptoniphilus lacrimalis, AF542230.1.1406,SSU,No,326,0,326,20.375,0.0,81.5,326,0,216.394236,0.0,216.394236,inf,BFTMS23071411,BFTMS23071417,SSU_moderate
2906,Bacteroides fragilis; KP944133.1.1437,KP944133.1.1437,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides fragilis,Bacteroides fragilis, KP944133.1.1437,SSU,No,200,0,199,12.5,0.0,49.733958887933575,199,0,132.093414,0.0,132.093414,inf,BFTMS23071411,BFTMS23071417,SSU_moderate
234,Anaerococcus vaginalis; AF542229.1.1412,AF542229.1.1412,Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Anaerococcus; Anaerococcus vaginalis,Anaerococcus vaginalis, AF542229.1.1412,SSU,No,196,0,190,12.25,0.0,47.4236228055175,190,0,126.11934,0.0,126.11934,inf,BFTMS23071411,BFTMS23071417,SSU_moderate
1414,Bacterium NLAE-zl-P872; JQ607722.1.1411,JQ607722.1.1411,Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Lachnoclostridium; Bacterium NLAE-zl-P872,Bacterium NLAE-zl-P872, JQ607722.1.1411,SSU,No,189,0,189,11.8125,0.0,47.25,189,0,125.455554,0.0,125.455554,inf,BFTMS23071411,BFTMS23071417,SSU_moderate
