,ID,Name,Taxonomy,species group,species id,reference_lib,false_pos_prone,Combined,Min,Max,Mean,Median,Std,sample_abund,control_abund,sample_normalized,control_normalized,normalized_corrected,S:N,sample,control,mode
0,Staphylococcus epidermidis; mg|Staphylococcus|epidermidis|-01,mg|Staphylococcus|epidermidis|-01,Bacteria; ; ; ; ; ; Staphylococcus epidermidis,Staphylococcus epidermidis, mg|Staphylococcus|epidermidis|-01,PanBac,No,19,0,7,1.1875,0.0,2.561737691,6,0,1.491342,0.0,1.491342,inf,BFTMS23071409,BFTMS23071417,PanBac_loose
41,Staphylococcus haemolyticus; mg|Staphylococcus|haemolyticus|-02,mg|Staphylococcus|haemolyticus|-02,Bacteria; ; ; ; ; ; Staphylococcus haemolyticus,Staphylococcus haemolyticus, mg|Staphylococcus|haemolyticus|-02,PanBac,No,6,0,6,0.375,0.0,1.5,6,0,1.491342,0.0,1.491342,inf,BFTMS23071409,BFTMS23071417,PanBac_loose
42,Staphylococcus haemolyticus; mg|Staphylococcus|haemolyticus|-03,mg|Staphylococcus|haemolyticus|-03,Bacteria; ; ; ; ; ; Staphylococcus haemolyticus,Staphylococcus haemolyticus, mg|Staphylococcus|haemolyticus|-03,PanBac,No,5,0,5,0.3125,0.0,1.25,5,0,1.242785,0.0,1.242785,inf,BFTMS23071409,BFTMS23071417,PanBac_loose
39,Pseudomonas aeruginosa; mg|Pseudomonas|aeruginosa|B136-33|,mg|Pseudomonas|aeruginosa|B136-33|,Bacteria; ; ; ; ; ; Pseudomonas aeruginosa,Pseudomonas aeruginosa, mg|Pseudomonas|aeruginosa|B136-33|,PanBac,No,215,0,193,13.4375,0.0,48.05131805,15,0,3.28668,0.0,3.28668,inf,BFTMS23071410,BFTMS23071417,PanBac_loose
2,Pseudomonas aeruginosa; mg|Pseudomonas|aeruginosa|MPAO1/P1|-01,mg|Pseudomonas|aeruginosa|MPAO1/P1|-01,Bacteria; ; ; ; ; ; Pseudomonas aeruginosa,Pseudomonas aeruginosa, mg|Pseudomonas|aeruginosa|MPAO1/P1|-01,PanBac,No,132,0,122,8.25,0.0,30.41600456,9,0,1.972008,0.0,1.972008,inf,BFTMS23071410,BFTMS23071417,PanBac_loose
0,Staphylococcus epidermidis; mg|Staphylococcus|epidermidis|-01,mg|Staphylococcus|epidermidis|-01,Bacteria; ; ; ; ; ; Staphylococcus epidermidis,Staphylococcus epidermidis, mg|Staphylococcus|epidermidis|-01,PanBac,No,19,0,7,1.1875,0.0,2.561737691,7,0,1.533784,0.0,1.533784,inf,BFTMS23071410,BFTMS23071417,PanBac_loose
65,Streptococcus pneumoniae; mg|Streptococcus|pneumoniae|-01,mg|Streptococcus|pneumoniae|-01,Bacteria; ; ; ; ; ; Streptococcus pneumoniae,Streptococcus pneumoniae, mg|Streptococcus|pneumoniae|-01,PanBac,No,5,0,5,0.3125,0.0,1.25,5,0,1.09556,0.0,1.09556,inf,BFTMS23071410,BFTMS23071417,PanBac_loose
19,Escherichia coli; mg|Escherichia|coli|ATCC-8739|-12,mg|Escherichia|coli|ATCC-8739|-12,Bacteria; ; ; ; ; ; Escherichia coli,Escherichia coli, mg|Escherichia|coli|ATCC-8739|-12,PanBac,No,978,0,978,61.125,0.0,244.5,978,0,649.182708,0.0,649.182708,inf,BFTMS23071411,BFTMS23071417,PanBac_loose
15,Escherichia coli; mg|Escherichia|coli|ATCC-8739|-08,mg|Escherichia|coli|ATCC-8739|-08,Bacteria; ; ; ; ; ; Escherichia coli,Escherichia coli, mg|Escherichia|coli|ATCC-8739|-08,PanBac,No,219,0,219,13.6875,0.0,54.75,219,0,145.369134,0.0,145.369134,inf,BFTMS23071411,BFTMS23071417,PanBac_loose
39,Pseudomonas aeruginosa; mg|Pseudomonas|aeruginosa|B136-33|,mg|Pseudomonas|aeruginosa|B136-33|,Bacteria; ; ; ; ; ; Pseudomonas aeruginosa,Pseudomonas aeruginosa, mg|Pseudomonas|aeruginosa|B136-33|,PanBac,No,215,0,193,13.4375,0.0,48.05131805,193,0,128.110698,0.0,128.110698,inf,BFTMS23071411,BFTMS23071417,PanBac_loose
2,Pseudomonas aeruginosa; mg|Pseudomonas|aeruginosa|MPAO1/P1|-01,mg|Pseudomonas|aeruginosa|MPAO1/P1|-01,Bacteria; ; ; ; ; ; Pseudomonas aeruginosa,Pseudomonas aeruginosa, mg|Pseudomonas|aeruginosa|MPAO1/P1|-01,PanBac,No,132,0,122,8.25,0.0,30.41600456,122,0,80.981892,0.0,80.981892,inf,BFTMS23071411,BFTMS23071417,PanBac_loose
17,Escherichia coli; mg|Escherichia|coli|ATCC-8739|-10,mg|Escherichia|coli|ATCC-8739|-10,Bacteria; ; ; ; ; ; Escherichia coli,Escherichia coli, mg|Escherichia|coli|ATCC-8739|-10,PanBac,No,24,0,24,1.5,0.0,6.0,24,0,15.930864,0.0,15.930864,inf,BFTMS23071411,BFTMS23071417,PanBac_loose
3,Pseudomonas aeruginosa; mg|Pseudomonas|aeruginosa|MPAO1/P1|-02,mg|Pseudomonas|aeruginosa|MPAO1/P1|-02,Bacteria; ; ; ; ; ; Pseudomonas aeruginosa,Pseudomonas aeruginosa, mg|Pseudomonas|aeruginosa|MPAO1/P1|-02,PanBac,No,22,0,22,1.375,0.0,5.5,22,0,14.603292,0.0,14.603292,inf,BFTMS23071411,BFTMS23071417,PanBac_loose
39,Pseudomonas aeruginosa; mg|Pseudomonas|aeruginosa|B136-33|,mg|Pseudomonas|aeruginosa|B136-33|,Bacteria; ; ; ; ; ; Pseudomonas aeruginosa,Pseudomonas aeruginosa, mg|Pseudomonas|aeruginosa|B136-33|,PanBac,No,215,0,193,13.4375,0.0,48.05131805,7,0,1.270563,0.0,1.270563,inf,BFTMS23071412,BFTMS23071417,PanBac_loose
56,Proteus mirabilis; mg|Proteus|mirabilis|HI4320|-04,mg|Proteus|mirabilis|HI4320|-04,Bacteria; ; ; ; ; ; Proteus mirabilis,Proteus mirabilis, mg|Proteus|mirabilis|HI4320|-04,PanBac,No,160,0,160,10.0,0.0,40.0,160,0,44.18128,0.0,44.18128,inf,BFTMS23071413,BFTMS23071417,PanBac_loose
62,Proteus mirabilis; mg|Proteus|mirabilis|HI4320|-10,mg|Proteus|mirabilis|HI4320|-10,Bacteria; ; ; ; ; ; Proteus mirabilis,Proteus mirabilis, mg|Proteus|mirabilis|HI4320|-10,PanBac,No,135,0,135,8.4375,0.0,33.75,135,0,37.277955,0.0,37.277955,inf,BFTMS23071413,BFTMS23071417,PanBac_loose
60,Proteus mirabilis; mg|Proteus|mirabilis|HI4320|-08,mg|Proteus|mirabilis|HI4320|-08,Bacteria; ; ; ; ; ; Proteus mirabilis,Proteus mirabilis, mg|Proteus|mirabilis|HI4320|-08,PanBac,No,120,0,120,7.5,0.0,30.0,120,0,33.13596,0.0,33.13596,inf,BFTMS23071413,BFTMS23071417,PanBac_loose
58,Proteus mirabilis; mg|Proteus|mirabilis|HI4320|-06,mg|Proteus|mirabilis|HI4320|-06,Bacteria; ; ; ; ; ; Proteus mirabilis,Proteus mirabilis, mg|Proteus|mirabilis|HI4320|-06,PanBac,No,83,0,83,5.1875,0.0,20.75,83,0,22.919039,0.0,22.919039,inf,BFTMS23071413,BFTMS23071417,PanBac_loose
63,Proteus mirabilis; mg|Proteus|mirabilis|HI4320|-11,mg|Proteus|mirabilis|HI4320|-11,Bacteria; ; ; ; ; ; Proteus mirabilis,Proteus mirabilis, mg|Proteus|mirabilis|HI4320|-11,PanBac,No,52,0,52,3.25,0.0,13.0,52,0,14.358916,0.0,14.358916,inf,BFTMS23071413,BFTMS23071417,PanBac_loose
29,Proteus mirabilis; mg|Proteus|mirabilis|HI4320|-02,mg|Proteus|mirabilis|HI4320|-02,Bacteria; ; ; ; ; ; Proteus mirabilis,Proteus mirabilis, mg|Proteus|mirabilis|HI4320|-02,PanBac,No,51,0,51,3.1875,0.0,12.75,51,0,14.082783,0.0,14.082783,inf,BFTMS23071413,BFTMS23071417,PanBac_loose
55,Proteus mirabilis; mg|Proteus|mirabilis|HI4320|-03,mg|Proteus|mirabilis|HI4320|-03,Bacteria; ; ; ; ; ; Proteus mirabilis,Proteus mirabilis, mg|Proteus|mirabilis|HI4320|-03,PanBac,No,42,0,42,2.625,0.0,10.5,42,0,11.597586,0.0,11.597586,inf,BFTMS23071413,BFTMS23071417,PanBac_loose
61,Proteus mirabilis; mg|Proteus|mirabilis|HI4320|-09,mg|Proteus|mirabilis|HI4320|-09,Bacteria; ; ; ; ; ; Proteus mirabilis,Proteus mirabilis, mg|Proteus|mirabilis|HI4320|-09,PanBac,No,38,0,38,2.375,0.0,9.5,38,0,10.493054,0.0,10.493054,inf,BFTMS23071413,BFTMS23071417,PanBac_loose
59,Proteus mirabilis; mg|Proteus|mirabilis|HI4320|-07,mg|Proteus|mirabilis|HI4320|-07,Bacteria; ; ; ; ; ; Proteus mirabilis,Proteus mirabilis, mg|Proteus|mirabilis|HI4320|-07,PanBac,No,15,0,15,0.9375,0.0,3.75,15,0,4.141995,0.0,4.141995,inf,BFTMS23071413,BFTMS23071417,PanBac_loose
28,Proteus mirabilis; mg|Proteus|mirabilis|HI4320|-01,mg|Proteus|mirabilis|HI4320|-01,Bacteria; ; ; ; ; ; Proteus mirabilis,Proteus mirabilis, mg|Proteus|mirabilis|HI4320|-01,PanBac,No,13,0,13,0.8125,0.0,3.25,13,0,3.589729,0.0,3.589729,inf,BFTMS23071413,BFTMS23071417,PanBac_loose
57,Proteus mirabilis; mg|Proteus|mirabilis|HI4320|-05,mg|Proteus|mirabilis|HI4320|-05,Bacteria; ; ; ; ; ; Proteus mirabilis,Proteus mirabilis, mg|Proteus|mirabilis|HI4320|-05,PanBac,No,11,0,11,0.6875,0.0,2.75,11,0,3.037463,0.0,3.037463,inf,BFTMS23071413,BFTMS23071417,PanBac_loose
70,Streptococcus salivarius; mg|Streptococcus|salivarius|JIM8777|-04,mg|Streptococcus|salivarius|JIM8777|-04,Bacteria; ; ; ; ; ; Streptococcus salivarius,Streptococcus salivarius, mg|Streptococcus|salivarius|JIM8777|-04,PanBac,No,5,0,5,0.3125,0.0,1.25,5,0,1.380665,0.0,1.380665,inf,BFTMS23071413,BFTMS23071417,PanBac_loose
