,ID,Name,Taxonomy,species group,species id,reference_lib,false_pos_prone,Combined,Min,Max,Mean,Median,Std,sample_abund,control_abund,sample_normalized,control_normalized,normalized_corrected,S:N,sample,control,mode
50,Bacillus rubiinfantis; CCFE01000025.30825.33480,CCFE01000025.30825.33480,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus rubiinfantis,Bacillus rubiinfantis, CCFE01000025.30825.33480,LSU,No,474,0,80,29.625,21.5,24.40730765,52,18,13.415012,1.812654,11.602358,6.400757121877645,BFTMS23071402,BFTMS23071417,LSU_loose
66,Vibrio parahaemolyticus; CP009982.128299.131152,CP009982.128299.131152,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Vibrionaceae; Vibrio; Vibrio parahaemolyticus,Vibrio parahaemolyticus, CP009982.128299.131152,LSU,No,2337,0,736,146.0625,28.5,259.56848,56,24,13.919192,2.416872,11.502320000000001,4.75917632377718,BFTMS23071409,BFTMS23071417,LSU_loose
50,Bacillus rubiinfantis; CCFE01000025.30825.33480,CCFE01000025.30825.33480,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus rubiinfantis,Bacillus rubiinfantis, CCFE01000025.30825.33480,LSU,No,474,0,80,29.625,21.5,24.40730765,32,18,7.953824,1.812654,6.14117,3.387943865734994,BFTMS23071409,BFTMS23071417,LSU_loose
66,Vibrio parahaemolyticus; CP009982.128299.131152,CP009982.128299.131152,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Vibrionaceae; Vibrio; Vibrio parahaemolyticus,Vibrio parahaemolyticus, CP009982.128299.131152,LSU,No,2337,0,736,146.0625,28.5,259.56848,736,24,161.266432,2.416872,158.84956,65.7252680323989,BFTMS23071410,BFTMS23071417,LSU_loose
47,Pseudomonas moraviensis R28-S; AYMZ01000007.155400.157795,AYMZ01000007.155400.157795,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas moraviensis R28-S,Pseudomonas moraviensis R28-S, AYMZ01000007.155400.157795,LSU,No,1695,1,368,105.9375,92.0,97.02128203,368,134,80.633216,13.494202,67.139014,4.975397137229753,BFTMS23071410,BFTMS23071417,LSU_loose
50,Bacillus rubiinfantis; CCFE01000025.30825.33480,CCFE01000025.30825.33480,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus rubiinfantis,Bacillus rubiinfantis, CCFE01000025.30825.33480,LSU,No,474,0,80,29.625,21.5,24.40730765,57,18,12.489384,1.812654,10.67673,5.890109198997712,BFTMS23071410,BFTMS23071417,LSU_loose
59,Bordetella pertussis; CP015760.2329107.2331778,CP015760.2329107.2331778,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Alcaligenaceae; Bordetella; Bordetella pertussis,Bordetella pertussis, CP015760.2329107.2331778,LSU,No,84,0,19,5.25,2.0,6.587867637,19,1,4.163128,0.100703,4.062425,40.34065519398628,BFTMS23071410,BFTMS23071417,LSU_loose
55,Streptococcus pneumoniae; CMII01000035.6080.8641,CMII01000035.6080.8641,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus pneumoniae,Streptococcus pneumoniae, CMII01000035.6080.8641,LSU,Yes,1218,0,1132,76.125,1.5,281.7726921,1132,0,751.405752,0.0,751.405752,inf,BFTMS23071411,BFTMS23071417,LSU_loose
40,Escherichia coli; LM996705.458410.461275,LM996705.458410.461275,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia-Shigella; Escherichia coli,Escherichia coli, LM996705.458410.461275,LSU,No,33,0,31,2.0625,0.0,7.724150439,31,0,20.577366,0.0,20.577366,inf,BFTMS23071411,BFTMS23071417,LSU_loose
64,Escherichia coli; CP007394.151135.153915,CP007394.151135.153915,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia-Shigella; Escherichia coli,Escherichia coli, CP007394.151135.153915,LSU,No,42,0,26,2.625,1.0,6.312685641,26,1,17.258436,0.100703,17.157733,170.3795616813799,BFTMS23071411,BFTMS23071417,LSU_loose
61,Escherichia coli; CP007391.4813145.4815739,CP007391.4813145.4815739,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia-Shigella; Escherichia coli,Escherichia coli, CP007391.4813145.4815739,LSU,No,21,0,20,1.3125,0.0,4.98957246,20,0,13.27572,0.0,13.27572,inf,BFTMS23071411,BFTMS23071417,LSU_loose
62,Escherichia coli; CP007390.4716928.4719817,CP007390.4716928.4719817,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia-Shigella; Escherichia coli,Escherichia coli, CP007390.4716928.4719817,LSU,No,21,0,20,1.3125,0.0,4.98957246,20,0,13.27572,0.0,13.27572,inf,BFTMS23071411,BFTMS23071417,LSU_loose
59,Bordetella pertussis; CP015760.2329107.2331778,CP015760.2329107.2331778,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Alcaligenaceae; Bordetella; Bordetella pertussis,Bordetella pertussis, CP015760.2329107.2331778,LSU,No,84,0,19,5.25,2.0,6.587867637,18,1,11.948148,0.100703,11.847445,117.64738885633993,BFTMS23071411,BFTMS23071417,LSU_loose
65,Escherichia coli; CP007394.4242631.4245288,CP007394.4242631.4245288,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia-Shigella; Escherichia coli,Escherichia coli, CP007394.4242631.4245288,LSU,No,135,1,20,8.4375,6.0,6.653006839,20,16,13.27572,1.611248,11.664472,7.239402003912495,BFTMS23071411,BFTMS23071417,LSU_loose
41,Paeniclostridium sordellii; CENA01000001.37771.39973,CENA01000001.37771.39973,Bacteria; Firmicutes; Clostridia; Peptostreptococcales; Peptostreptococcaceae; Paeniclostridium; Paeniclostridium sordellii,Paeniclostridium sordellii, CENA01000001.37771.39973,LSU,No,11,0,11,0.6875,0.0,2.75,11,0,7.301646,0.0,7.301646,inf,BFTMS23071411,BFTMS23071417,LSU_loose
28,Romboutsia sp. MT17; FJTZ01000010.121757.124558,FJTZ01000010.121757.124558,Bacteria; Firmicutes; Clostridia; Peptostreptococcales; Peptostreptococcaceae; Clostridioides; Romboutsia sp. MT17,Romboutsia sp. MT17, FJTZ01000010.121757.124558,LSU,No,17,0,10,1.0625,0.0,2.954516317,10,0,6.63786,0.0,6.63786,inf,BFTMS23071411,BFTMS23071417,LSU_loose
19,Raoultella ornithinolytica; FTLF01000016.331550.333913,FTLF01000016.331550.333913,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Raoultella; Raoultella ornithinolytica,Raoultella ornithinolytica, FTLF01000016.331550.333913,LSU,No,96,0,27,6.0,4.0,6.713171133,9,3,5.974074,0.302109,5.671965,18.77456480938999,BFTMS23071411,BFTMS23071417,LSU_loose
66,Vibrio parahaemolyticus; CP009982.128299.131152,CP009982.128299.131152,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Vibrionaceae; Vibrio; Vibrio parahaemolyticus,Vibrio parahaemolyticus, CP009982.128299.131152,LSU,No,2337,0,736,146.0625,28.5,259.56848,555,24,100.737495,2.416872,98.320623,40.68093924709294,BFTMS23071412,BFTMS23071417,LSU_loose
50,Bacillus rubiinfantis; CCFE01000025.30825.33480,CCFE01000025.30825.33480,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus rubiinfantis,Bacillus rubiinfantis, CCFE01000025.30825.33480,LSU,No,474,0,80,29.625,21.5,24.40730765,51,18,9.256959,1.812654,7.444305,4.106853817661837,BFTMS23071412,BFTMS23071417,LSU_loose
30,Bacillus sp. Marseille-P3515; FTOZ01000012.104897.107716,FTOZ01000012.104897.107716,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus sp. Marseille-P3515,Bacillus sp. Marseille-P3515, FTOZ01000012.104897.107716,LSU,No,64,0,21,4.0,0.0,6.387487769,21,6,3.811689,0.604218,3.207471,5.308466480641092,BFTMS23071412,BFTMS23071417,LSU_loose
66,Vibrio parahaemolyticus; CP009982.128299.131152,CP009982.128299.131152,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Vibrionaceae; Vibrio; Vibrio parahaemolyticus,Vibrio parahaemolyticus, CP009982.128299.131152,LSU,No,2337,0,736,146.0625,28.5,259.56848,699,24,193.016967,2.416872,190.60009499999998,78.86230425111465,BFTMS23071413,BFTMS23071417,LSU_loose
47,Pseudomonas moraviensis R28-S; AYMZ01000007.155400.157795,AYMZ01000007.155400.157795,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas moraviensis R28-S,Pseudomonas moraviensis R28-S, AYMZ01000007.155400.157795,LSU,No,1695,1,368,105.9375,92.0,97.02128203,228,134,62.958324,13.494202,49.464121999999996,3.665583337199191,BFTMS23071413,BFTMS23071417,LSU_loose
50,Bacillus rubiinfantis; CCFE01000025.30825.33480,CCFE01000025.30825.33480,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus rubiinfantis,Bacillus rubiinfantis, CCFE01000025.30825.33480,LSU,No,474,0,80,29.625,21.5,24.40730765,80,18,22.09064,1.812654,20.277986000000002,11.186903843756173,BFTMS23071413,BFTMS23071417,LSU_loose
55,Streptococcus pneumoniae; CMII01000035.6080.8641,CMII01000035.6080.8641,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus pneumoniae,Streptococcus pneumoniae, CMII01000035.6080.8641,LSU,Yes,1218,0,1132,76.125,1.5,281.7726921,43,0,11.873719,0.0,11.873719,inf,BFTMS23071413,BFTMS23071417,LSU_loose
19,Raoultella ornithinolytica; FTLF01000016.331550.333913,FTLF01000016.331550.333913,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Raoultella; Raoultella ornithinolytica,Raoultella ornithinolytica, FTLF01000016.331550.333913,LSU,No,96,0,27,6.0,4.0,6.713171133,27,3,7.455591,0.302109,7.153482,23.67848028360625,BFTMS23071413,BFTMS23071417,LSU_loose
49,Aspergillus fumigatus Af293; AAHF01000017.3748.7449,AAHF01000017.3748.7449,Eukaryota; Ascomycota; Eurotiomycetes; Eurotiales; Aspergillaceae; Aspergillus; Aspergillus fumigatus Af293,Aspergillus fumigatus Af293, AAHF01000017.3748.7449,LSU,No,69,0,69,4.3125,0.0,17.25,69,0,32.24301,0.0,32.24301,inf,BFTMS23071414,BFTMS23071417,LSU_loose
